Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",20.718000,16.745000,-90.000000,top
"IC1","ADG732BSUZ-REEL","QFP50P900X900X120-48N",58.420000,19.920000,-90.000000,top
"IC2","PCA9539RPW_118","SOP65P640X110-24N",13.940000,20.340000,180.000000,top
"J1","43045-1602","43045-16_00,01,02,10_",71.001750,33.570989,180.000000,top
"J2","43045-1602","43045-16_00,01,02,10_",33.095424,33.614460,180.000000,top
"J3","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Horizontal",4.190000,15.490000,180.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",11.550000,36.150000,0.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",10.540000,4.405000,180.000000,top
"J6","43045-1602","43045-16_00,01,02,10_",53.908503,6.357639,0.000000,top
"J7","43045-1602","43045-16_00,01,02,10_",91.321750,6.315400,0.000000,top
"R1","10k","R_0603",19.088000,16.655000,90.000000,top
"R2","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",16.910000,33.610000,0.000000,top
"R3","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",17.060000,6.930000,0.000000,top
